key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
#,Behavior,Battalion,LinkRace,Rank,Scale,ModelChara,BNpcCustomize,NpcEquip,Special,SEPack,,ArrayEventHandler,,BNpcParts,,,IsTargetLine,IsDisplayLevel,,,,,,,,,
int32,Behavior,Battalion,LinkRace,byte,single,ModelChara,BNpcCustomize,NpcEquip,uint16,byte,bit&01,ArrayEventHandler,byte,BNpcParts,byte,bit&02,bit&04,bit&08,bit&10,byte,byte,byte,uint16,byte,bit&20,bit&40,uint32
0,,"Battalion#4","LinkRace#0",0,1,"ModelChara#0","BNpcCustomize#0","NpcEquip#0",0,0,False,,0,"BNpcParts#0",1,True,True,True,False,0,0,0,0,0,False,False,0
1,,"Battalion#4","LinkRace#0",0,1,"ModelChara#0","BNpcCustomize#2","NpcEquip#366",0,0,False,,0,"BNpcParts#0",1,True,True,True,False,0,0,0,0,0,False,False,0
2,,"Battalion#4","LinkRace#0",0,1,"ModelChara#96","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#851976",0,"BNpcParts#0",1,True,True,True,False,0,0,5,263,0,False,False,0
3,,"Battalion#4","LinkRace#0",0,1.2,"ModelChara#61","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#852023",0,"BNpcParts#0",1,True,True,True,False,0,0,0,0,0,False,False,0
4,,"Battalion#4","LinkRace#0",0,1.3,"ModelChara#62","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#852053",0,"BNpcParts#0",1,True,True,True,False,0,0,0,0,0,False,False,0
5,,"Battalion#4","LinkRace#0",0,1.2,"ModelChara#31","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#851987",0,"BNpcParts#0",1,True,True,True,False,0,0,5,203,0,False,False,0
6,,"Battalion#4","LinkRace#0",0,1.2,"ModelChara#32","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#851994",0,"BNpcParts#0",1,True,True,True,False,0,0,0,0,0,False,False,0
7,,"Battalion#4","LinkRace#0",0,2,"ModelChara#53","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#851997",0,"BNpcParts#0",1,True,True,True,False,0,0,0,0,0,False,False,0
8,,"Battalion#4","LinkRace#0",0,2,"ModelChara#54","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#852174",0,"BNpcParts#0",1,True,True,True,False,0,0,0,0,0,False,False,0
9,,"Battalion#4","LinkRace#0",0,1,"ModelChara#20","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#851984",0,"BNpcParts#0",1,True,True,True,False,0,0,0,0,0,False,False,0
10,,"Battalion#4","LinkRace#0",0,1.5,"ModelChara#21","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#851978",0,"BNpcParts#0",1,True,True,True,False,0,0,5,22,0,False,False,0
11,,"Battalion#4","LinkRace#0",0,2,"ModelChara#22","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#852199",0,"BNpcParts#0",1,True,True,True,False,0,0,0,0,0,False,False,0
12,,"Battalion#4","LinkRace#0",0,1.5,"ModelChara#39","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#851973",0,"BNpcParts#0",1,True,True,True,False,0,0,5,35,0,False,False,0
13,,"Battalion#4","LinkRace#0",0,1.5,"ModelChara#40","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#852137",0,"BNpcParts#0",1,True,True,True,False,0,0,0,0,0,False,False,0
14,,"Battalion#4","LinkRace#0",0,0.9,"ModelChara#46","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#851969",0,"BNpcParts#0",1,True,True,True,False,0,0,0,0,0,False,False,0
