key,0,1,2,3,4,5,6,7,8,9,10
#,Type,AdditionalData,AcceptClassJobCategory,Category,UnlockCondition,,,,SortKey,Icon,Name
int32,byte,Row,ClassJobCategory,byte,BannerCondition,uint16,uint16,uint16,uint16,Image,str
0,0,,"All Classes",0,"BannerCondition#0",0,0,0,0,,"未設定"
1,20,"normal/idle","All Classes",3,"BannerCondition#1",0,0,0,1,"ui/icon/082000/082083.tex","Standing 1"
2,11,"","All Classes",3,"BannerCondition#1",0,0,0,2,"ui/icon/082000/082083.tex","Standing 2"
3,11,"","All Classes",3,"BannerCondition#1",0,0,0,3,"ui/icon/082000/082083.tex","Standing 3"
4,11,"","All Classes",3,"BannerCondition#1",0,0,0,4,"ui/icon/082000/082083.tex","Standing 4"
5,11,"","All Classes",3,"BannerCondition#1",0,0,0,5,"ui/icon/082000/082083.tex","Standing 5"
6,11,"Change Pose","All Classes",3,"BannerCondition#1",0,0,0,6,"ui/icon/082000/082083.tex","Standing 6"
7,11,"Change Pose","All Classes",3,"BannerCondition#1",0,0,0,7,"ui/icon/082000/082083.tex","Standing 7"
8,20,"battle/idle","All Classes",3,"BannerCondition#1",0,0,0,8,"ui/icon/082000/082083.tex","Standing 8"
9,11,"","All Classes",3,"BannerCondition#1",0,0,0,9,"ui/icon/082000/082083.tex","Standing 9"
10,11,"Bow","All Classes",1,"BannerCondition#1",0,0,0,1000,"ui/icon/246000/246205.tex",""
11,11,"Eastern Bow","All Classes",1,"BannerCondition#6",0,0,0,1001,"ui/icon/246000/246315.tex",""
12,0,,"",0,"BannerCondition#0",0,0,0,0,,""
13,11,"Welcome","All Classes",1,"BannerCondition#1",0,0,0,1003,"ui/icon/246000/246241.tex",""
14,11,"Greeting","All Classes",1,"BannerCondition#7",0,0,0,1004,"ui/icon/246000/246336.tex",""
15,11,"Goodbye","All Classes",1,"BannerCondition#1",0,0,0,1005,"ui/icon/246000/246215.tex",""
16,11,"Wave","All Classes",1,"BannerCondition#1",0,0,0,1006,"ui/icon/246000/246216.tex",""
