key,0,1,2,3,4,5,6,7,8
#,ContentLinkType,Content,,UnlockQuest[0],UnlockQuest[1],UnlockQuest[2],,Map,
int32,byte,Row,bit&01,Quest,Quest,Quest,uint32,Row,int32
0,0,,False,,,,0,,0
1,1,"InstanceContent#9",False,"Braving New Depths",,,0,,0
2,1,"InstanceContent#12",False,"Dishonor Before Death",,,0,,0
3,1,"InstanceContent#13",False,"Fort of Fear",,,0,,0
4,1,"InstanceContent#25",False,"Blood for Stone",,,0,,0
5,1,"InstanceContent#28",False,"It's Definitely Pirates",,,0,,0
6,1,"InstanceContent#26",False,"The Wrath of Qarn",,,0,,0
7,1,"InstanceContent#30",False,"Not Easy Being Green",,,0,,0
8,1,"InstanceContent#38",False,"Heavensward",,,0,,0
9,1,"InstanceContent#56",False,"Stormblood",,,0,,0
10,1,"InstanceContent#59",False,"An Auspicious Encounter",,,0,,0
11,1,"InstanceContent#67",False,"Shadowbringers",,,0,,0
12,1,"InstanceContent#84",False,"Endwalker",,,0,,0
13,1,"InstanceContent#30001",False,"Labyrinth of the Ancients",,,0,,0
14,1,"InstanceContent#30011",False,"Syrcus Tower",,,0,,0
15,1,"InstanceContent#30020",False,"The World of Darkness",,,0,,0
16,1,"InstanceContent#30058",False,"A City Fallen",,,0,,0
17,1,"InstanceContent#30068",False,"Annihilation",,,0,,0
18,1,"InstanceContent#30077",False,"The City of Lost Angels",,,0,,0
19,1,"InstanceContent#30049",False,"Into the Deltascape",,,0,,0
20,1,"InstanceContent#30050",False,"A Catastrophe Waiting",,,0,,0
21,1,"InstanceContent#30051",False,"The Croak Queen",,,0,,0
22,1,"InstanceContent#30052",False,"A Void at All Costs",,,0,,0
23,1,"InstanceContent#30059",False,"No Slowing Down",,,0,,0
24,1,"InstanceContent#30060",False,"An Unfinished Masterpiece",,,0,,0
25,1,"InstanceContent#30061",False,"Won't Let You Pass",,,0,,0
26,1,"InstanceContent#30062",False,"Test World of Ruin",,,0,,0
27,1,"InstanceContent#30069",False,"In the Beginning, There Was Chaos",,,0,,0
28,1,"InstanceContent#30070",False,"And Like Fire Was His Mane",,,0,,0
29,1,"InstanceContent#30071",False,"In the End, There Is Omega",,,0,,0
30,1,"InstanceContent#30072",False,"In the End, There Is Omega",,,0,,0
31,1,"InstanceContent#30078",False,"Deploy the Core",,,0,,0
32,1,"InstanceContent#30082",False,"One Fell Swoop",,,0,,0
33,1,"InstanceContent#30080",False,"Nor Any Drop to Drink",,,0,,0
34,1,"InstanceContent#30084",False,"Super Seismic",,,0,,0
35,1,"InstanceContent#30088",False,"Blood and Thunder",,,0,,0
36,1,"InstanceContent#30090",False,"Into the Firestorm",,,0,,0
37,1,"InstanceContent#30092",False,"Heart of Darkness",,,0,,0
