key,0,1,2,3,4,5,6,7,8,9,10
#,ContentType,Text[0],Text[1],Text[2],Text[3],Image,,,UnlockQuest,,
int32,ContentType,Addon,Addon,Addon,Addon,Image,uint32,bit&01,Quest,uint32,uint32
0,"","","","","",,0,False,,0,0
1,"Dungeons","<If(GreaterThan(IntegerParameter(3),0))><Clickable(<Sheet(InstanceContent,IntegerParameter(5),3)/>)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(3),0))><Clickable(<Sheet(InstanceContent,IntegerParameter(5),3)/>)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value> <If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","Complete <Sheet(InstanceContent,IntegerParameter(5),3)/>.","",,0,False,,0,0
2,"Trials","<If(GreaterThan(IntegerParameter(3),0))><Clickable(<Sheet(InstanceContent,IntegerParameter(5),3)/>)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(3),0))><Clickable(<Sheet(InstanceContent,IntegerParameter(5),3)/>)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value> <If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","Complete <Sheet(InstanceContent,IntegerParameter(5),3)/>.","",,0,False,,0,0
3,"Raids","<If(GreaterThan(IntegerParameter(3),0))><Clickable(<Sheet(InstanceContent,IntegerParameter(5),3)/>)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(3),0))><Clickable(<Sheet(InstanceContent,IntegerParameter(5),3)/>)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value> <If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","Complete <Sheet(InstanceContent,IntegerParameter(5),3)/>.","",,0,False,,0,0
4,"PvP","<If(GreaterThan(IntegerParameter(3),0))><Clickable(<Sheet(InstanceContent,IntegerParameter(5),3)/>)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(3),0))><Clickable(<Sheet(InstanceContent,IntegerParameter(5),3)/>)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value> <If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","Participate in <Sheet(InstanceContent,IntegerParameter(5),3)/>.","Victory or defeat will determine the quantity of rewards.",,0,False,,0,0
5,"Deep Dungeons","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","<Sheet(Addon,15955,0,<SheetEn(PlaceName,2,IntegerParameter(18),2,1)/>,IntegerParameter(14),IntegerParameter(12),IntegerParameter(16),IntegerParameter(8))/>","",,0,False,,0,0
6,"Ocean Fishing","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Score at least <If(GreaterThan(IntegerParameter(7),0))><Value>IntegerParameter(7)</Value><Else/><Value>IntegerParameter(8)</Value></If> points during a single <Sheet(ContentType,IntegerParameter(2),0)/> voyage.","Rewards differ depending on total catch.","ui/icon/112000/112383.tex",8267820,False,"All the Fish in the Sea",0,0
7,"Triple Triad","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Win a game of <Sheet(ContentType,IntegerParameter(2),0)/> against <SheetEn(ENpcResident,2,IntegerParameter(5),1,1)/> in <SheetEn(PlaceName,2,<Sheet(TerritoryType,<Sheet(Level,IntegerParameter(10),9)/>,5)/>,2,1)/>.","","ui/icon/111000/111044.tex",0,False,"Triple Triad Trial",0,0
8,"Treasure Hunt","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Decipher a timeworn map and collect the treasure.","","ui/icon/111000/111042.tex",0,False,"Treasures and Tribulations",0,0
9,"The Hunt","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Complete an <Sheet(EventItem,<Sheet(MobHuntOrderType,IntegerParameter(5),2)/>,0)/>.","","ui/icon/111000/111041.tex",0,False,,99,0
10,"Fishing","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Catch <SheetEn(Item,1,<Sheet(FishParameter,IntegerParameter(5),4)/>,1,1)/>.","","ui/icon/111000/111043.tex",0,False,"Way of the Fisher",0,0
11,"GATE","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Obtain MGP in any <Sheet(ContentType,IntegerParameter(2),0)/>.","Rewards differ depending on the GATE. Rewards can be viewed from “See Rewards.”","ui/icon/111000/111046.tex",0,True,"It Could Happen to You",0,0
12,"FATEs","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","<If(Equal(IntegerParameter(4),2))>Complete <Value>IntegerParameter(8)</Value> <Sheet(ContentType,IntegerParameter(2),0)/> in <SheetEn(PlaceName,2,<Sheet(TerritoryType,IntegerParameter(5),5)/>,2,1)/> or <SheetEn(PlaceName,2,<Sheet(TerritoryType,IntegerParameter(6),5)/>,2,1)/>.<Else/>Complete <Value>IntegerParameter(8)</Value> <Sheet(ContentType,IntegerParameter(2),0)/> in <SheetEn(PlaceName,2,<Sheet(TerritoryType,IntegerParameter(5),5)/>,2,1)/>.</If>","","ui/icon/111000/111045.tex",0,False,,0,0
13,"","","","","",,0,False,,0,0
14,"Treasure Hunt","Treasure Dungeons","Treasure Dungeon
Lv. <Value>IntegerParameter(7)</Value>","Enter a treasure dungeon via a teleportation portal <Value>IntegerParameter(8)</Value> times.
※Treasure hunts abandoned midway through will not count toward the total.","","ui/icon/111000/111047.tex",0,False,,0,179
15,"Eureka","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Defeat <Value>IntegerParameter(8)</Value> notorious <If(Equal(IntegerParameter(8),1))>monster<Else/>monsters</If> in <Sheet(PublicContent,IntegerParameter(5),3)/>.","",,0,False,,0,283
16,"Save the Queen","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","<If(Equal(IntegerParameter(20),8))>Complete <Value>IntegerParameter(8)</Value> critical <If(Equal(IntegerParameter(8),1))>engagement<Else/>engagements</If> <If(Equal(IntegerParameter(5),27))>on the Bozjan southern front<Else/>in Zadnor</If><Else/>Complete the critical engagement “<Sheet(DynamicEvent,IntegerParameter(5),11)/>” <Value>IntegerParameter(8)</Value> <If(Equal(IntegerParameter(8),1))>time<Else/>times</If></If>.","",,0,False,,0,735
17,"The Masked Carnivale","<If(GreaterThan(IntegerParameter(1),0))>Masked Carnivale<Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))>Masked Carnivale<Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Complete a stage of the Masked Carnivale.","","ui/icon/112000/112332.tex",7735774,False,"The Real Folk Blues",0,610
18,"Island Sanctuary","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Gather materials <Value>IntegerParameter(8)</Value> <If(Equal(IntegerParameter(8),1))>time<Else/>times</If> in <Sheet(ContentType,IntegerParameter(2),0)/>.","","ui/icon/101000/101184.tex",9323110,False,"Seeking Sanctuary",0,0
19,"V&C Dungeon Finder","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Complete <Sheet(InstanceContent,IntegerParameter(5),3)/> <Value>IntegerParameter(8)</Value> times.","","ui/icon/111000/111042.tex",0,False,,0,0
20,"Custom Deliveries","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Complete any custom delivery <Value>IntegerParameter(8)</Value> times.","","ui/icon/111000/111048.tex",0,False,"Inscrutable Tastes",0,0
21,"Society Quests","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Complete any society daily quest <Value>IntegerParameter(8)</Value> times.","","ui/icon/111000/111049.tex",0,False,"In Pursuit of the Past",0,0
22,"PvP","<If(GreaterThan(IntegerParameter(1),0))>Crystalline Conflict<Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))>Crystalline Conflict<Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Participate in a casual match of Crystalline Conflict.","","ui/icon/112000/112471.tex",0,False,,0,835
23,"Gold Saucer","<If(GreaterThan(IntegerParameter(1),0))>Chocobo Racing<Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))>Chocobo Racing<Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Participate in <Value>IntegerParameter(8)</Value> chocobo races.","","ui/icon/112000/112295.tex",0,False,"So You Think You Can Ride This Chocobo",0,0
24,"Wondrous Tails","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Collect <Value>IntegerParameter(8)</Value> seals for Wondrous Tails.","","ui/icon/111000/111050.tex",6526530,False,"Keeping Up with the Aliapohs",0,0
25,"Gold Saucer","<If(GreaterThan(IntegerParameter(1),0))>Doman Mahjong<Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))>Doman Mahjong<Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Play <Value>IntegerParameter(8)</Value> <If(Equal(IntegerParameter(8),1))>match<Else/>matches</If> of Doman mahjong with other players.
※NPC matches will not be counted.","","ui/icon/112000/112336.tex",0,False,"Every Little Thing She Does Is Mahjong",0,0
26,"Grand Company","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Complete <Value>IntegerParameter(8)</Value> Grand Company supply and provisioning missions.","","ui/icon/111000/111051.tex",0,False,,0,0
27,"Occult Crescent","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Complete <Value>IntegerParameter(8)</Value> critical <If(Equal(IntegerParameter(8),1))>encounter<Else/>encounters</If> on <Sheet(PublicContent,IntegerParameter(5),3)/>.","","ui/icon/112000/112593.tex",0,False,,0,1018
28,"","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Complete <Value>IntegerParameter(8)</Value> <If(Equal(IntegerParameter(2),29))><If(Equal(IntegerParameter(8),1))>skirmish<Else/>skirmishes</If><Else/><If(Equal(IntegerParameter(8),1))>FATE<Else/>FATEs</If></If> <If(Equal(IntegerParameter(5),27))>on the Bozjan southern front<Else/>in Zadnor</If>.","",,0,False,,0,0
29,"Save the Queen","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Complete <Sheet(PublicContent,IntegerParameter(5),3)/> <Value>IntegerParameter(8)</Value> <If(Equal(IntegerParameter(8),1))>time<Else/>times</If>.
※Delubrum Reginae (Savage) will not be counted.","",,0,False,,0,735
