key,0,1
#,Content[0],Content[1]
int32,CSBonusContent,CSBonusContent
0.0,"",""
1.0,"InstanceContent#9",""
1.1,"InstanceContent#12",""
1.2,"InstanceContent#13",""
1.3,"InstanceContent#15",""
1.4,"InstanceContent#86",""
1.5,"InstanceContent#25",""
1.6,"InstanceContent#28",""
1.7,"InstanceContent#20082",""
1.8,"InstanceContent#20037",""
1.9,"InstanceContent#20041",""
1.10,"InstanceContent#20043",""
1.11,"InstanceContent#30001",""
1.12,"InstanceContent#30011",""
1.13,"InstanceContent#30020",""
1.14,"InstanceContent#30078",""
1.15,"InstanceContent#30082",""
1.16,"InstanceContent#30080",""
1.17,"InstanceContent#30084",""
1.18,"InstanceContent#30088",""
1.19,"InstanceContent#30090",""
1.20,"InstanceContent#30092",""
1.21,"InstanceContent#30094",""
1.22,"InstanceContent#30097",""
1.23,"InstanceContent#30099",""
1.24,"InstanceContent#30101",""
1.25,"InstanceContent#30103",""
1.26,"InstanceContent#41004",""
1.27,"InstanceContent#41005",""
1.28,"InstanceContent#41006",""
1.29,"InstanceContent#42002",""
1.30,"GoldSaucerContent#1",""
1.31,"GoldSaucerContent#7",""
1.32,"GoldSaucerContent#6",""
1.33,"GoldSaucerContent#5",""
1.34,"GoldSaucerContent#8",""
1.35,"",""
2.0,"InstanceContent#9",""
2.1,"InstanceContent#12",""
2.2,"InstanceContent#13",""
2.3,"InstanceContent#25",""
2.4,"InstanceContent#28",""
2.5,"InstanceContent#30001",""
2.6,"InstanceContent#30011",""
2.7,"InstanceContent#30020",""
2.8,"InstanceContent#30078",""
2.9,"InstanceContent#30082",""
2.10,"InstanceContent#30080",""
2.11,"InstanceContent#30084",""
2.12,"InstanceContent#30088",""
2.13,"InstanceContent#30090",""
2.14,"InstanceContent#30092",""
2.15,"InstanceContent#30094",""
2.16,"InstanceContent#30097",""
2.17,"InstanceContent#30099",""
2.18,"InstanceContent#30101",""
2.19,"InstanceContent#30103",""
2.20,"InstanceContent#20037",""
2.21,"InstanceContent#20041",""
2.22,"InstanceContent#20043",""
2.23,"InstanceContent#15",""
2.24,"InstanceContent#86",""
2.25,"InstanceContent#20082",""
2.26,"InstanceContent#42002",""
3.0,"n4f1","Fufulupa"
3.1,"elite mark bill","Timeworn Toadskin Map"
3.2,"n4f3","Armorer"
3.3,"elite Clan mark bill","indolent imperial"
3.4,"n4f5","Timeworn Toadskin Map"
3.5,"elite Veteran Clan mark bill","The Grinner"
4.0,"",""
5.0,"InstanceContent#15",""
5.1,"InstanceContent#86",""
5.2,"InstanceContent#26",""
5.3,"InstanceContent#30",""
