key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#,,,,,,Item,Category[0],Category[1],Category[2],Category[3],Text[0],Text[1],,,,,,
int32,bit&01,uint16,uint16,bool,bool,Item,uint32,uint16,uint16,uint16,CSBonusTextData,CSBonusTextData,uint16,uint16,uint16,byte,byte,byte
0,False,0,0,False,False,"",0,0,0,0,"","",0,0,0,0,0,1
1,False,0,0,False,False,"",0,0,0,0,"","",0,0,0,0,0,1
2,True,2,4,True,False,"Irregular Tomestone of Genesis I",0,1,0,2,"","The Second Hunt for Genesis",0,4,0,1,2,26
3,True,2,4,True,False,"",0,0,0,0,"","",0,0,0,0,0,1
4,True,2,4,True,True,"Irregular Tomestone of Genesis II",0,5,0,6,"","The Hunt for Revelation",0,8,0,1,3,27
5,True,2,4,True,True,"",0,0,0,0,"","",0,0,0,0,0,1
6,False,2,4,True,True,"",0,0,0,0,"","",0,0,0,0,0,1
7,False,0,0,False,False,"",0,0,0,0,"","",0,0,0,0,0,1
8,True,8,0,True,False,"Irregular Tomestone of Goetia",0,9,0,10,"",,0,12,0,1,4,26
9,True,8,0,True,False,"",0,0,0,0,"","",0,0,0,0,0,1
10,False,8,0,True,False,"",0,0,0,0,"","",0,0,0,0,0,1
11,False,0,0,False,False,"",0,0,0,0,"","",0,0,0,0,0,1
12,True,12,0,True,False,"Irregular Tomestone of Phantasmagoria",0,13,0,14,"",,0,16,0,1,5,26
13,True,12,0,True,False,"",0,0,0,0,"","",0,0,0,0,0,1
14,False,12,0,True,False,"",0,0,0,0,"","",0,0,0,0,0,1
15,False,0,0,False,False,"",0,0,0,0,"","",0,0,0,0,0,1
16,True,16,0,True,False,"Irregular Tomestone of Allegory",0,17,0,18,"",,0,20,0,1,6,26
17,True,16,0,True,False,"",0,0,0,0,"","",0,0,0,0,0,1
18,False,16,0,True,False,"",0,0,0,0,"","",0,0,0,0,0,1
19,False,0,0,False,False,"",0,0,0,0,"","",0,0,0,0,0,1
20,True,20,0,True,False,"Irregular Tomestone of Revelation",0,23,0,24,"",,0,21,0,1,7,26
21,True,20,0,True,False,"",0,0,0,0,"","",0,0,0,0,0,1
22,False,20,0,True,False,"",0,0,0,0,"","",0,0,0,0,0,1
23,False,0,0,False,False,"",0,0,0,0,"","",0,0,0,0,0,1
24,True,24,0,True,False,"Irregular Tomestone of Aphorism",0,27,0,28,"",,0,25,0,1,8,26
25,True,24,0,True,False,"",0,0,0,0,"","",0,0,0,0,0,1
26,False,24,0,True,False,"",0,0,0,0,"","",0,0,0,0,0,1
27,False,0,0,False,False,"",0,0,0,0,"","",0,0,0,0,0,1
28,True,28,30,True,False,"Irregular Tomestone of Astronomy I",51752,31,0,32,"",,1,29,5,1,9,26
29,True,28,30,True,False,"",0,0,0,0,"","",0,0,0,0,0,1
30,True,28,30,True,True,"Irregular Tomestone of Astronomy II",51752,35,0,36,"",,1,33,5,1,10,27
31,True,28,30,True,True,"",0,0,0,0,"","",0,0,0,0,0,1
32,False,0,0,False,False,"",0,0,0,0,"","",0,0,0,0,0,0
