key,0,1,2,3
#,Item,Order,Category,SortKey
int32,Item,uint16,CabinetCategory,byte
0,"Gallant Coronet",201,"Class/Job Gear",1
1,"Gallant Surcoat",202,"Class/Job Gear",1
2,"Gallant Cuisses",204,"Class/Job Gear",1
3,"Gallant Gauntlets",203,"Class/Job Gear",1
4,"Gallant Sollerets",205,"Class/Job Gear",1
5,"Temple Circlet",2001,"Class/Job Gear",2
6,"Temple Cyclas",2002,"Class/Job Gear",2
7,"Temple Gaskins",2004,"Class/Job Gear",2
8,"Temple Gloves",2003,"Class/Job Gear",2
9,"Temple Boots",2005,"Class/Job Gear",2
10,"Fighter's Burgeonet",401,"Class/Job Gear",3
11,"Fighter's Cuirass",402,"Class/Job Gear",3
12,"Fighter's Breeches",404,"Class/Job Gear",3
13,"Fighter's Gauntlets",403,"Class/Job Gear",3
14,"Fighter's Jackboots",405,"Class/Job Gear",3
15,"Drachen Armet",1401,"Class/Job Gear",4
16,"Drachen Mail",1402,"Class/Job Gear",4
17,"Drachen Breeches",1404,"Class/Job Gear",4
18,"Drachen Gauntlets",1403,"Class/Job Gear",4
19,"Drachen Greaves",1405,"Class/Job Gear",4
20,"Choral Chapeau",3201,"Class/Job Gear",5
21,"Choral Shirt",3202,"Class/Job Gear",5
22,"Choral Tights",3204,"Class/Job Gear",5
23,"Choral Ringbands",3203,"Class/Job Gear",5
24,"Choral Sandals",3205,"Class/Job Gear",5
25,"Healer's Circlet",5201,"Class/Job Gear",7
26,"Healer's Robe",5202,"Class/Job Gear",7
27,"Healer's Culottes",5204,"Class/Job Gear",7
28,"Healer's Gloves",5203,"Class/Job Gear",7
29,"Healer's Boots",5205,"Class/Job Gear",7
30,"Wizard's Petasos",4201,"Class/Job Gear",8
31,"Wizard's Coat",4202,"Class/Job Gear",8
32,"Wizard's Tonban",4204,"Class/Job Gear",8
33,"Wizard's Gloves",4203,"Class/Job Gear",8
34,"Wizard's Crakows",4205,"Class/Job Gear",8
35,"Dragon Kabuto",37004,"Seasonal Gear 4",44
36,"Crimson Dragon Kabuto",37005,"Seasonal Gear 4",44
37,"Golden Dragon Kabuto",37006,"Seasonal Gear 4",44
38,"Black Dragon Kabuto",37007,"Seasonal Gear 4",44
