key,0,1,2,3
#,MenuOrder,HideOrder,Icon,Category
int32,byte,byte,Image,Addon
0,0,0,,""
1,1,0,"ui/icon/061000/061828.tex","Class/Job Gear"
2,3,0,"ui/icon/061000/061826.tex","Seasonal Gear 1"
3,8,0,"ui/icon/061000/061830.tex","Achievements"
4,9,0,"ui/icon/061000/061831.tex","Exclusive Extras"
5,4,0,"ui/icon/061000/061826.tex","Seasonal Gear 2"
6,5,0,"ui/icon/061000/061826.tex","Seasonal Gear 3"
7,6,0,"ui/icon/061000/061826.tex","Seasonal Gear 4"
8,7,0,"ui/icon/061000/061826.tex","Seasonal Gear 5"
9,100,1,"ui/icon/061000/061849.tex","Costumes"
10,101,1,"ui/icon/061000/061849.tex","Fashions"
11,102,1,"ui/icon/061000/061849.tex","Mascots"
12,2,0,"ui/icon/061000/061801.tex","Dungeon Gear"
