key,0,1
#,Route,
int32,IKDRoute,uint32
0,"Bloodbrine Sea",19
1,"Rothlyt Sound",13
2,"Northern Strait of Merlthor",19
3,"Rhotano Sea",16
4,"Bloodbrine Sea",20
5,"Rothlyt Sound",14
6,"Northern Strait of Merlthor",20
7,"Rhotano Sea",17
8,"Bloodbrine Sea",21
9,"Rothlyt Sound",15
10,"Northern Strait of Merlthor",21
11,"Rhotano Sea",18
12,"Rothlyt Sound",13
13,"Northern Strait of Merlthor",19
14,"Rhotano Sea",16
15,"Bloodbrine Sea",20
16,"Rothlyt Sound",14
17,"Northern Strait of Merlthor",20
18,"Rhotano Sea",17
19,"Bloodbrine Sea",21
20,"Rothlyt Sound",15
21,"Northern Strait of Merlthor",21
22,"Rhotano Sea",18
23,"Bloodbrine Sea",19
24,"Northern Strait of Merlthor",19
25,"Rhotano Sea",16
26,"Bloodbrine Sea",20
27,"Rothlyt Sound",14
28,"Northern Strait of Merlthor",20
29,"Rhotano Sea",17
30,"Bloodbrine Sea",21
31,"Rothlyt Sound",15
32,"Northern Strait of Merlthor",21
33,"Rhotano Sea",18
34,"Bloodbrine Sea",19
35,"Rothlyt Sound",13
36,"Rhotano Sea",16
37,"Bloodbrine Sea",20
38,"Rothlyt Sound",14
39,"Northern Strait of Merlthor",20
40,"Rhotano Sea",17
41,"Bloodbrine Sea",21
42,"Rothlyt Sound",15
43,"Northern Strait of Merlthor",21
44,"Rhotano Sea",18
45,"Bloodbrine Sea",19
46,"Rothlyt Sound",13
47,"Northern Strait of Merlthor",19
48,"Bloodbrine Sea",20
49,"Rothlyt Sound",14
50,"Northern Strait of Merlthor",20
51,"Rhotano Sea",17
52,"Bloodbrine Sea",21
53,"Rothlyt Sound",15
54,"Northern Strait of Merlthor",21
55,"Rhotano Sea",18
56,"Bloodbrine Sea",19
57,"Rothlyt Sound",13
58,"Northern Strait of Merlthor",19
59,"Rhotano Sea",16
60,"Rothlyt Sound",14
61,"Northern Strait of Merlthor",20
62,"Rhotano Sea",17
63,"Bloodbrine Sea",21
64,"Rothlyt Sound",15
65,"Northern Strait of Merlthor",21
66,"Rhotano Sea",18
67,"Bloodbrine Sea",19
68,"Rothlyt Sound",13
69,"Northern Strait of Merlthor",19
70,"Rhotano Sea",16
71,"Bloodbrine Sea",20
72,"Northern Strait of Merlthor",20
73,"Rhotano Sea",17
74,"Bloodbrine Sea",21
75,"Rothlyt Sound",15
76,"Northern Strait of Merlthor",21
77,"Rhotano Sea",18
78,"Bloodbrine Sea",19
79,"Rothlyt Sound",13
80,"Northern Strait of Merlthor",19
81,"Rhotano Sea",16
82,"Bloodbrine Sea",20
83,"Rothlyt Sound",14
84,"Rhotano Sea",17
85,"Bloodbrine Sea",21
86,"Rothlyt Sound",15
87,"Northern Strait of Merlthor",21
88,"Rhotano Sea",18
89,"Bloodbrine Sea",19
90,"Rothlyt Sound",13
91,"Northern Strait of Merlthor",19
92,"Rhotano Sea",16
93,"Bloodbrine Sea",20
94,"Rothlyt Sound",14
95,"Northern Strait of Merlthor",20
96,"Bloodbrine Sea",21
97,"Rothlyt Sound",15
98,"Northern Strait of Merlthor",21
99,"Rhotano Sea",18
100,"Bloodbrine Sea",19
101,"Rothlyt Sound",13
102,"Northern Strait of Merlthor",19
103,"Rhotano Sea",16
104,"Bloodbrine Sea",20
105,"Rothlyt Sound",14
106,"Northern Strait of Merlthor",20
107,"Rhotano Sea",17
108,"Rothlyt Sound",15
109,"Northern Strait of Merlthor",21
110,"Rhotano Sea",18
111,"Bloodbrine Sea",19
112,"Rothlyt Sound",13
113,"Northern Strait of Merlthor",19
114,"Rhotano Sea",16
115,"Bloodbrine Sea",20
116,"Rothlyt Sound",14
117,"Northern Strait of Merlthor",20
118,"Rhotano Sea",17
119,"Bloodbrine Sea",21
120,"Northern Strait of Merlthor",21
121,"Rhotano Sea",18
122,"Bloodbrine Sea",19
123,"Rothlyt Sound",13
124,"Northern Strait of Merlthor",19
125,"Rhotano Sea",16
126,"Bloodbrine Sea",20
127,"Rothlyt Sound",14
128,"Northern Strait of Merlthor",20
129,"Rhotano Sea",17
130,"Bloodbrine Sea",21
131,"Rothlyt Sound",15
132,"Rhotano Sea",18
133,"Bloodbrine Sea",19
134,"Rothlyt Sound",13
135,"Northern Strait of Merlthor",19
136,"Rhotano Sea",16
137,"Bloodbrine Sea",20
138,"Rothlyt Sound",14
139,"Northern Strait of Merlthor",20
140,"Rhotano Sea",17
141,"Bloodbrine Sea",21
142,"Rothlyt Sound",15
143,"Northern Strait of Merlthor",21
