key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
#,InstanceContentType,,TimeLimit{min},,BGM,WinBGM,Cutscene,LGBEventRange,Order,Colosseum,,InstanceContentTextData{Boss}{Start},InstanceContentTextData{Boss}{End},BNpcBase{Boss},InstanceContentTextData{Objective}{Start},InstanceContentTextData{Objective}{End},SortKey,NewPlayerBonusGil,NewPlayerBonusExp,NewPlayerBonusA,NewPlayerBonusB,FinalBossExp,,,FinalBossCurrencyA,FinalBossCurrencyB,FinalBossCurrencyC,BossExp[0],BossExp[1],BossExp[2],BossExp[3],BossExp[4],BossCurrencyA[0],BossCurrencyA[1],BossCurrencyA[2],BossCurrencyA[3],BossCurrencyA[4],BossCurrencyB[0],BossCurrencyB[1],BossCurrencyB[2],BossCurrencyB[3],BossCurrencyB[4],BossCurrencyC[0],BossCurrencyC[1],BossCurrencyC[2],BossCurrencyC[3],BossCurrencyC[4],InstanceClearExp,InstanceClearGil,InstanceContentRewardItem,,,,InstanceContentBuff,,ReqInstance,PartyCondition,,,WeekRestriction,,,,,,,,,,,,
int32,InstanceContentType,byte,uint16,bit&01,BGM,BGM,Cutscene,uint32,uint16,Colosseum,uint32,InstanceContentTextData,InstanceContentTextData,BNpcBase,InstanceContentTextData,InstanceContentTextData,uint32,uint32,uint16,uint16,uint32,byte,uint32,uint16,uint16,uint16,uint32,uint32,uint32,uint32,uint32,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint32,uint32,uint32,InstanceContentRewardItem,bit&01,uint32,int32,InstanceContentBuff,uint32,InstanceContent,byte,byte,byte,byte,byte,bit&08,uint16,uint16,uint16,byte,uint16,uint16,bit&10,uint16,uint16,bit&20
0,"InstanceContentType#0",0,60,False,"","music/ffxiv/BGM_System_WinLoop.scd","",0,0,"Colosseum#0",0,"","","BNpcBase#0","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#100",False,0,0,"InstanceContentBuff#0",0,,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,False
1,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1r110/dunfst1r110",9083612,1,"Colosseum#0",0,"",,,"Defeat Graffias","Defeat <SheetEn(BNpcName,2,IntegerParameter(1),1,1)/>",3400,3600,0,0,18230,0,32400,0,0,0,8100,14180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40500,550,0,"InstanceContentRewardItem#100",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,83,46,5,14,0,False,0,0,True
2,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1d110/dunfst1d110",1958540,2,"Colosseum#0",1003,"Come hither, children of the dawn. The undying master will drink deep tonight!","","BNpcBase#1000","Come hither, children of the dawn. The undying master will drink deep tonight!","Exit alone.",2600,2200,0,0,13480,0,19600,0,0,0,3680,3680,3680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24500,400,78,"InstanceContentRewardItem#100",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,5,15,0,False,0,0,True
3,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d110/dunwil1d110",2790145,3,"Colosseum#0",2704,"NEVER AGAIN! NEVER!","","BNpcBase#2700","NEVER AGAIN! NEVER!","Exit with party.",2700,2700,0,0,13640,0,24200,0,0,0,6060,10610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30300,400,0,"InstanceContentRewardItem#100",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,5,16,0,False,0,0,True
4,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunsea/dunsea1d110/dunsea1d110",3283219,4,"Colosseum#0",2504,"The Lord of the Whorl shhhall sssup upon your sssouls!",,"BNpcBase#2500","The Lord of the Whorl shhhall sssup upon your sssouls!","Exit <Highlight>ObjectParameter(56)</Highlight>?",2500,2100,0,0,12925,0,18800,0,0,0,3525,3525,3525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23500,400,6,"InstanceContentRewardItem#100",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,5,17,0,False,0,0,True
5,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunroc/dunroc1r210/dunroc1r210",3619405,5,"Colosseum#0",0,"",,"BNpcBase#2900","Defeat the morbol bed keepers","",5700,10300,0,0,51620,0,91800,0,0,0,22940,40150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114700,2400,4,"InstanceContentRewardItem#100",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,5,18,0,False,0,0,True
6,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1d210/dunfst1d210",3633039,6,"Colosseum#0",0,"",,"BNpcBase#1100","Find the yellow key","???",3800,4300,0,0,21960,0,39000,0,0,0,9760,17080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48800,700,11,"InstanceContentRewardItem#100",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,5,19,0,False,0,0,True
7,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d210/dunwil1d210",4097951,7,"Colosseum#0",0,"",,"BNpcBase#2405","Clear the Hall of the Secutores","Remain here.",3000,3100,0,0,15620,0,27800,0,0,0,6940,12150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34700,450,0,"InstanceContentRewardItem#100",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,184,0,5,20,0,False,0,0,True
8,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunsea/dunsea1d210/dunsea1d210",3998421,8,"Colosseum#0",0,"",,"BNpcBase#2400","Arrive in the heart of the Longstop","Duty Progress",4200,5300,0,0,26960,0,47900,0,0,0,11980,20970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59900,900,0,"InstanceContentRewardItem#100",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,81,0,5,21,0,False,0,0,True
9,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d310/dunwil1d310",4064743,9,"Colosseum#0",0,"",,"BNpcBase#3500","A statuette has already been placed.","Leave duty?",4500,6200,0,0,31320,0,55700,0,0,0,13920,24360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69600,1200,0,"InstanceContentRewardItem#100",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,204,0,5,22,0,False,0,0,True
10,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunsea/dunsea1d310/dunsea1d310",4177426,10,"Colosseum#0",0,"",,"BNpcBase#2800","Obtain lantern oil","",0,0,30,0,24460,0,0,10,0,0,10870,19030,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,2,"InstanceContentRewardItem#40",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,0,23,0,False,0,0,True
11,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunroc/dunroc1d110/dunroc1d110",4239689,11,"Colosseum#0",0,"",,"BNpcBase#4400","Defeat Isgebind","Starting Point",5100,8400,0,0,42390,0,75400,0,0,0,18840,32970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94200,1800,14,"InstanceContentRewardItem#100",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,44,5,24,0,False,0,0,True
12,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1r110/dunwil1r110",3690171,12,"Colosseum#0",0,"",,"BNpcBase#3400","Clear the Sunken Antechamber","Select a destination.
Current Location: <Highlight>StringParameter(1)</Highlight>",4800,7500,0,0,37850,0,67300,0,0,0,16820,29440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84100,1500,13,"InstanceContentRewardItem#100",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,5,25,0,False,0,0,True
13,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunroc/dunroc1r110/dunroc1r110",4229622,13,"Colosseum#0",0,"",,"BNpcBase#2904","Deactivate the level IV magitek field","Cancel",5400,8900,0,0,44820,0,79700,0,0,0,19920,34860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99600,2100,5,"InstanceContentRewardItem#100",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,5,26,0,False,0,0,True
