key,0,1
#,Objective,
int32,Tutorial,uint32
0,"",0
1,"Avoid the enemy's attacks!",121701
2,"Use the combo advised by the master to attack the striking dummy!",121702
3,"Defeat the axe-wielding training partner!",121703
4,"Build enmity with all three striking dummies simultaneously!",121704
5,"Fight while building enmity with multiple opponents!",121705
6,"Establish enmity with ranged attacks, and defeat all enemies!",121706
7,"Defeat the enemy while staying alert for reinforcements!",121707
8,"",121708
